-96.334549	35077	35137	35177	35187	35159	35222	35176	35200	35159	35111	35092	35086	35158	35333	35188	35233	35035	35149	35291	35197	
-93.781395	35283	35349	35299	35395	35377	35212	35335	35380	35268	35457	35318	35471	35426	35317	35369	35386	35288	35330	35318	35378	
-91.22879	34998	35073	34955	34919	35006	34988	35163	35125	34968	35033	34974	35040	35090	35039	35021	35016	34981	35096	35059	35064	
-88.678467	35119	35091	35175	35023	35234	35211	35169	35054	35069	35199	35168	35150	35116	35211	35323	35222	35161	35179	35215	35142	
-86.128677	35139	35031	35152	35046	35049	35043	35049	35079	35157	35112	35153	35082	35215	35174	35071	35096	35199	35085	35126	35149	
-83.579437	34927	34860	34926	34851	34987	34895	35012	34859	34930	34911	34935	34848	34836	34838	34787	34974	34996	35013	34951	34952	
-81.032471	35040	35048	35143	35167	35186	35177	35130	35149	35195	35201	35162	35149	35197	35211	35278	35174	35119	35121	35164	35164	
-78.487778	35178	35161	35241	35124	35172	35218	35123	35169	35107	35179	35207	35110	35233	35078	35247	35186	35214	35143	35172	35131	
-75.943626	35062	35030	35089	34987	35094	34974	35009	34924	35008	35054	34991	35145	35067	35240	35120	35092	35022	35047	35158	35129	
-73.400017	35034	35091	35169	35143	35091	35003	35066	35057	35105	34990	35120	35043	35077	34983	35171	35101	35137	35098	35115	35051	
-70.860405	34978	35000	34931	35095	34932	35069	35062	35140	35095	35057	34952	35058	34948	34926	35046	34963	35001	35000	35011	35048	
-68.319611	34765	34869	34781	34778	34710	34751	34732	34845	34757	34660	34744	34727	34740	34690	34739	34799	34839	34747	34713	34706	
-65.781082	35068	35018	34979	35101	34942	35168	35022	35083	34923	35036	34889	35020	35047	35095	35024	34968	35066	34985	35126	35032	
-63.24482	34863	34875	34816	34692	34805	34860	34787	34845	34798	34807	34934	34863	34800	34902	34784	34929	34754	34795	34803	34788	
-60.709095	34742	34901	34982	34859	34841	34852	34861	34833	34872	34812	34910	34868	34866	34953	34782	34822	34807	34818	34797	34927	
-58.173912	34778	34863	34888	34813	34795	34830	34889	34910	34832	34753	34862	34856	34854	34893	34784	34929	34871	34954	34845	34931	
-55.640995	34802	34722	34768	34762	34878	34855	34923	34853	34710	34654	34778	34852	34739	34653	34727	34674	34917	34792	34721	34722	
-53.110336	35125	35123	35157	35255	35183	35343	35328	35261	35204	35198	35142	35259	35278	35190	35183	35146	35337	35190	35328	35198	
-50.580219	34868	35016	35099	34893	34998	34921	34970	34933	34973	34912	35063	35063	35079	35009	34896	35020	35085	34938	35047	35006	
-48.05064	34704	34812	34658	34749	34773	34669	34809	34813	34783	34726	34712	34705	34681	34836	34749	34716	34735	34781	34821	34757	
-45.523319	34788	34801	34852	34837	34790	34828	34908	34932	34805	34856	34969	34777	34974	34919	34970	34912	34766	34744	34805	34857	
-42.998257	34889	34858	34891	34950	35003	34863	34867	34823	34835	34905	34829	34886	34807	34940	34837	34864	34954	34849	34885	34867	
-40.473732	34813	34705	34717	34803	34730	34553	34590	34618	34683	34774	34654	34608	34593	34582	34605	34741	34715	34758	34625	34675	
-37.949745	34564	34779	34777	34709	34731	34635	34788	34711	34656	34700	34723	34626	34733	34664	34742	34618	34697	34737	34612	34785	
-35.428013	34444	34348	34446	34289	34374	34336	34405	34467	34459	34351	34336	34396	34415	34277	34432	34518	34315	34410	34405	34403	
-32.908535	34604	34667	34638	34668	34698	34696	34727	34629	34672	34685	34773	34633	34514	34707	34657	34681	34823	34681	34503	34680	
-30.389591	34509	34613	34674	34459	34553	34699	34627	34668	34605	34482	34391	34670	34550	34692	34546	34551	34498	34595	34683	34517	
-27.87118	34626	34563	34694	34568	34652	34736	34745	34660	34803	34795	34619	34784	34716	34744	34733	34819	34708	34609	34605	34691	
-25.355024	34879	34835	34786	35055	34810	35012	34717	34834	34941	34895	34800	34910	34841	34943	34917	34899	34963	34976	34872	34808	
-22.839401	34756	34764	34852	34759	34840	34818	34824	34678	34951	34812	34806	34815	34809	34739	34819	34909	34798	34811	34857	34821	
-20.326029	34499	34517	34618	34592	34683	34633	34665	34685	34692	34679	34593	34602	34640	34610	34619	34656	34637	34659	34502	34730	
-17.814903	34861	34719	34813	34718	34903	34796	34807	34862	34833	34830	34843	34792	34796	34803	34847	34618	34853	34915	34755	34694	
-15.304311	35044	34896	34994	35210	35099	35036	35101	35017	35064	35130	35109	35087	35008	34990	35174	35192	34971	35072	35018	35084	
-12.79425	34758	34936	34757	34715	34761	34963	34749	34835	34839	34880	34728	34930	34834	34837	34754	34938	34915	34857	34734	34959	
-10.286435	35177	35057	35127	35040	35137	35086	35108	35116	35153	35167	35099	35316	35207	35166	35132	35193	35079	35149	35029	35125	
