Date,Time,Comment,Model_Name,Best_Epoch,Val_MAE,Val_Cos,Val_Shape,w_mae,w_cos,w_shape,w_signal,w_base,w_consist,w_smooth,w_curve,w_mid,w_deep,w_ortho,Learning_Rate,Batch_Size
2026-03-15,18:50:38,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm2.0_wd0.5_ortho0.5.pth,45,0.049023,0.049035,0.011385,1.0,1.0,0.2,20.0,20.0,0.0,0.2,0.2,2.0,0.5,0.5,0.0001,64
2026-03-15,21:27:28,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm2.0_wd0.5_ortho0.5.pth,642,0.035238,0.023471,0.009264,1.0,1.0,0.2,20.0,20.0,0.0,0.2,0.2,2.0,0.5,0.5,0.0001,64
2026-03-16,02:09:36,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm2.0_wd0.5_ortho0.5.pth,690,0.034306,0.021418,0.009109,1.0,1.0,0.2,20.0,20.0,0.0,0.2,0.2,2.0,0.5,0.5,0.0001,64
2026-03-16,08:06:43,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm4.0_wd0.5_ortho0.5.pth,794,0.034414,0.021496,0.00908,1.0,1.0,0.2,20.0,20.0,0.0,0.2,0.2,4.0,0.5,0.5,0.0001,64
2026-03-16,10:30:51,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm2.0_wd0.5_ortho0.5.pth,523,0.034531,0.023413,0.008401,1.0,1.0,0.6,20.0,20.0,0.0,0.2,0.2,2.0,0.5,0.5,0.0001,64
2026-03-16,16:06:00,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm3.0_wd0.5_ortho0.5.pth,1074,0.030832,0.017724,0.00792,1.0,1.0,0.4,20.0,20.0,0.0,0.2,0.2,3.0,0.5,0.5,0.0001,64
2026-03-16,20:25:31,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm4.0_wd0.5_ortho0.5.pth,572,0.035954,0.024635,0.008737,1.0,1.0,0.4,20.0,20.0,0.0,0.2,0.2,4.0,0.5,0.5,0.0001,64
2026-03-17,02:05:05,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm20.0_wd0.5_ortho0.5.pth,538,0.035188,0.024131,0.008688,1.0,1.0,0.4,20.0,20.0,0.0,0.2,0.2,20.0,0.5,0.5,0.0001,64
2026-03-17,02:44:20,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.0_wm20.0_wd0.5_ortho0.5.pth,6,0.068331,0.072487,0.018984,1.0,1.0,0.4,20.0,20.0,0.0,0.2,0.2,20.0,0.5,0.5,0.0001,64
2026-03-17,04:52:37,Ablation: Increased Shape weight to 10.0 to check for over-smoothing,Latent_113_S20.0_B20.0_C0.4_wm3.0_wd0.5_ortho0.5.pth,614,0.035423,0.023687,0.008891,1.0,1.0,0.4,20.0,20.0,0.4,0.2,0.2,3.0,0.5,0.5,0.0001,64
