-96.334549	46986
-93.781395	47320
-91.22879	46831
-88.678467	47062
-86.128677	47057
-83.579437	46714
-81.032471	47258
-78.487778	47380
-75.943626	47136
-73.400017	47049
-70.860405	46894
-68.319611	46580
-65.781082	46922
-63.24482	46820
-60.709095	46964
-58.173912	46701
-55.640995	46762
-53.110336	47347
-50.580219	47141
-48.05064	46955
-45.523319	47082
-42.998257	47141
-40.473732	46781
-37.949745	46969
-35.428013	46910
-32.908535	47268
-30.389591	46905
-27.87118	47444
-25.355024	48253
-22.839401	49247
-20.326029	50656
-17.814903	52226
-15.304311	53676
-12.79425	53364
-10.286435	54122
-7.7808657	64353
-5.2741113	65535
-2.7713156	65535
-0.26904798	65535
2.2326913	65535
4.7321892	65535
7.2294474	65535
9.727891	51885
12.222384	49277
14.716352	48351
17.209795	47880
19.701002	47294
22.191685	46720
24.680134	46848
27.166349	46588
29.652042	46221
32.137215	46371
34.620155	46222
37.102577	46116
39.582767	45951
42.062439	45937
44.539883	45860
47.015102	45616
49.491508	45555
51.963985	45823
54.435947	45776
56.907387	45732
59.37661	45435
61.84531	45047
64.311798	45222
66.777771	45276
69.241524	45377
71.704765	45662
74.165787	45481
76.626297	45486
79.084587	45279
81.542366	44986
83.99794	45115
86.453003	44875
88.905846	44935
91.358177	44827
93.808311	44963
96.257935	44638
98.705345	44818
101.15224	44673
103.59695	44989
106.04114	44905
108.48313	44832
110.92461	44720
113.36388	45044
115.80267	44846
118.23923	44646
120.67532	44583
123.10918	44278
125.54255	44195
127.97372	44142
130.40439	44596
132.83287	44519
135.26083	44357
137.68661	44345
140.11191	45329
142.53499	45070
144.95758	44376
147.37967	44404
149.79787	43693
152.21729	43744
154.63449	44402
157.04953	44137
159.46405	44138
161.8764	44209
164.28827	43821
166.69792	43741
169.1071	44531
171.51579	43833
173.92229	43707
176.32661	43857
178.73044	43723
181.13208	43598
183.53323	43575
185.93222	43506
188.33072	43555
190.72871	43772
193.12454	43832
195.51819	43158
197.91136	43395
200.30235	43423
202.69287	43327
205.08289	43342
207.47075	43118
209.85643	43135
212.24162	43327
214.62634	43372
217.00722	43840
219.38925	43728
221.76917	43937
224.14691	44559
226.52415	45331
228.90092	45269
231.27553	45826
233.64798	46217
236.01996	47139
238.39145	48306
240.76079	49163
243.12796	50346
245.49466	50866
247.86086	51720
250.22493	52867
252.58685	53329
254.94827	54279
257.30923	54715
259.66806	55063
262.02469	55525
264.38089	56167
266.73657	56192
269.09015	56367
271.44324	57064
273.79419	57106
276.14297	57033
278.4913	56950
280.83914	56730
283.18484	57001
285.52844	56749
287.87152	56947
290.21414	56808
292.55463	56747
294.89465	56400
297.23254	56271
299.5683	56075
301.90524	56189
304.2384	56170
306.57104	56014
308.90326	56436
311.23334	56505
313.56293	56005
315.89044	56014
318.21579	55667
320.54068	55810
322.86511	55703
325.18741	55414
327.50925	55994
329.82892	56158
332.14816	56048
334.46527	56282
336.78195	56288
339.09647	56023
341.40887	56301
343.72253	56561
346.03235	56853
348.34174	56706
350.65067	57190
352.95746	57139
355.26376	57259
357.56802	57221
359.8718	57558
362.17343	57617
364.47464	57958
366.77371	57858
369.07236	57638
371.36887	57864
373.66492	58060
375.95889	58378
378.25238	58402
380.54379	58749
382.83475	58703
385.12357	58886
387.41196	58739
389.69821	59144
391.98407	59322
